year,cumulative_sq_km
1985,12.907357282198316
1986,12.907357282198316
1987,12.907357282198316
1988,12.907357282198316
1989,12.907357282198316
1990,12.907357282198316
1991,12.907357282198316
1992,12.907357282198316
1993,12.907357282198316
1994,14.210637337464705
1995,15.402716219717384
1996,16.12759015032657
1997,16.62056497188348
1998,17.281033733381303
1999,17.978780627415127
2000,18.36935631180924
2001,18.774165475373042
2002,19.142370282504864
2003,19.68887574322962
2004,20.074008478847418
2005,20.484910759459826
2006,20.764276038827262
2007,21.10734492751016
2008,21.445671158965617
2009,21.84705780829526
2010,22.060635017019393
2011,22.28846158206169
2012,22.46950109201964
2013,22.649182066828462
2014,22.879707971467436
2015,23.25532683188305
