year,month,cumulative_sq_km
2016,6,13.170044879033613
2017,1,13.330536153396475
2017,6,13.44408403772672
2018,1,13.511445785299166
2018,6,13.585668127032704
2019,1,13.638338939109323
2019,6,13.693196942002231
2020,1,13.765388167030709
2020,6,13.818966534650274
2021,1,13.86033302422966
2021,6,13.933124724959157
2022,1,13.98142583115584
2022,6,14.024077875187846
2023,1,14.114956179994238
2023,6,14.184059446000168
2024,1,14.249464588396876
2024,6,14.316153312142143
2025,1,14.378694592242164
2025,6,14.452919553602346
