Year,uba_km2,uba_km2_exposed,percent_uba_exposed
1985,11.19,3.3,29.55%
1986,11.19,3.3,29.55%
1987,11.19,3.3,29.55%
1988,11.19,3.3,29.55%
1989,11.19,3.3,29.55%
1990,11.19,3.3,29.55%
1991,11.19,3.3,29.55%
1992,11.19,3.3,29.55%
1993,11.19,3.3,29.55%
1994,12.4,3.6,29.08%
1995,13.48,3.89,28.85%
1996,14.18,4.03,28.45%
1997,14.59,4.14,28.35%
1998,15.12,4.26,28.20%
1999,15.74,4.39,27.88%
2000,16.09,4.46,27.71%
2001,16.46,4.52,27.48%
2002,16.8,4.59,27.31%
2003,17.25,4.68,27.15%
2004,17.59,4.75,27.01%
2005,17.96,4.81,26.78%
2006,18.22,4.88,26.79%
2007,18.53,4.96,26.74%
2008,18.89,4.99,26.43%
2009,19.23,5.05,26.28%
2010,19.42,5.08,26.15%
2011,19.6,5.1,26.04%
2012,19.75,5.13,25.99%
2013,19.88,5.16,25.96%
2014,20.07,5.22,26.03%
2015,20.24,5.27,26.03%
2016,20.36,5.3,26.01%
2017,20.86,5.4,25.89%
2018,21.13,5.45,25.77%
2019,21.33,5.48,25.71%
2020,21.58,5.54,25.68%
2021,21.78,5.57,25.57%
2022,21.96,5.59,25.46%
2023,22.28,5.65,25.34%
2024,22.55,5.7,25.30%
2025,22.88,5.76,25.19%
