Year,uba_km2,uba_km2_exposed,percent_uba_exposed
1985,11.19,1.21,10.81%
1986,11.19,1.21,10.81%
1987,11.19,1.21,10.81%
1988,11.19,1.21,10.81%
1989,11.19,1.21,10.81%
1990,11.19,1.21,10.81%
1991,11.19,1.21,10.81%
1992,11.19,1.21,10.81%
1993,11.19,1.21,10.81%
1994,12.4,1.3,10.50%
1995,13.48,1.38,10.23%
1996,14.18,1.42,10.00%
1997,14.59,1.45,9.95%
1998,15.12,1.47,9.75%
1999,15.74,1.51,9.62%
2000,16.09,1.53,9.52%
2001,16.46,1.55,9.41%
2002,16.8,1.58,9.40%
2003,17.25,1.61,9.33%
2004,17.59,1.63,9.27%
2005,17.96,1.65,9.17%
2006,18.22,1.67,9.16%
2007,18.53,1.7,9.16%
2008,18.89,1.71,9.06%
2009,19.23,1.73,8.98%
2010,19.42,1.73,8.92%
2011,19.6,1.74,8.88%
2012,19.75,1.75,8.85%
2013,19.88,1.75,8.81%
2014,20.07,1.77,8.82%
2015,20.24,1.78,8.80%
2016,20.36,1.79,8.79%
2017,20.86,1.81,8.68%
2018,21.13,1.82,8.62%
2019,21.33,1.83,8.59%
2020,21.58,1.85,8.56%
2021,21.78,1.85,8.50%
2022,21.96,1.86,8.47%
2023,22.28,1.86,8.37%
2024,22.55,1.88,8.35%
2025,22.88,1.9,8.29%
