year,yearName,1-in-10 year,1-in-100 year,"1-in-1,000 year",total
1,1985,0.19,1.52,3.09,3.09
2,1986,0.19,1.52,3.09,3.09
3,1987,0.19,1.52,3.09,3.09
4,1988,0.19,1.52,3.09,3.09
5,1989,0.19,1.52,3.09,3.09
6,1990,0.19,1.52,3.09,3.09
7,1991,0.19,1.52,3.09,3.09
8,1992,0.19,1.52,3.09,3.09
9,1993,0.19,1.52,3.09,3.09
10,1994,0.21,1.67,3.36,3.36
11,1995,0.23,1.79,3.64,3.64
12,1996,0.24,1.87,3.78,3.78
13,1997,0.25,1.92,3.87,3.87
14,1998,0.27,1.99,3.99,3.99
15,1999,0.28,2.05,4.11,4.11
16,2000,0.28,2.08,4.18,4.18
17,2001,0.29,2.11,4.24,4.24
18,2002,0.29,2.14,4.31,4.31
19,2003,0.3,2.19,4.4,4.4
20,2004,0.3,2.22,4.46,4.46
21,2005,0.3,2.25,4.52,4.52
22,2006,0.31,2.28,4.59,4.59
23,2007,0.31,2.32,4.66,4.66
24,2008,0.32,2.34,4.69,4.69
25,2009,0.33,2.38,4.75,4.75
26,2010,0.33,2.39,4.78,4.78
27,2011,0.33,2.41,4.8,4.8
28,2012,0.34,2.42,4.83,4.83
29,2013,0.34,2.44,4.86,4.86
30,2014,0.35,2.48,4.91,4.91
31,2015,0.36,2.51,4.95,4.95
32,2016,0.36,2.53,4.97,4.97
33,2017,0.38,2.59,5.07,5.07
34,2018,0.38,2.61,5.12,5.12
35,2019,0.39,2.63,5.15,5.15
36,2020,0.4,2.67,5.21,5.21
37,2021,0.4,2.68,5.24,5.24
38,2022,0.4,2.69,5.26,5.26
39,2023,0.41,2.73,5.31,5.31
40,2024,0.41,2.75,5.36,5.36
41,2025,0.41,2.78,5.41,5.41
