year,yearName,1-in-10 year,1-in-100 year,"1-in-1,000 year",total
1,1985,0,0,0.07,0.07
2,1986,0,0,0.07,0.07
3,1987,0,0,0.07,0.07
4,1988,0,0,0.07,0.07
5,1989,0,0,0.07,0.07
6,1990,0,0,0.07,0.07
7,1991,0,0,0.07,0.07
8,1992,0,0,0.07,0.07
9,1993,0,0,0.07,0.07
10,1994,0,0,0.07,0.07
11,1995,0,0,0.07,0.07
12,1996,0,0,0.08,0.08
13,1997,0,0,0.08,0.08
14,1998,0,0,0.08,0.08
15,1999,0,0,0.08,0.08
16,2000,0,0,0.08,0.08
17,2001,0,0,0.08,0.08
18,2002,0,0,0.08,0.08
19,2003,0,0,0.09,0.09
20,2004,0,0,0.09,0.09
21,2005,0,0,0.09,0.09
22,2006,0,0,0.09,0.09
23,2007,0,0,0.09,0.09
24,2008,0,0,0.09,0.09
25,2009,0,0,0.09,0.09
26,2010,0,0,0.1,0.1
27,2011,0,0,0.1,0.1
28,2012,0,0,0.11,0.11
29,2013,0,0,0.11,0.11
30,2014,0,0,0.11,0.11
31,2015,0,0,0.11,0.11
32,2016,0,0,0.11,0.11
33,2017,0,0,0.11,0.11
34,2018,0,0,0.11,0.11
35,2019,0,0,0.11,0.11
36,2020,0,0,0.11,0.11
37,2021,0,0,0.12,0.12
38,2022,0,0,0.12,0.12
39,2023,0,0,0.12,0.12
40,2024,0,0,0.12,0.12
41,2025,0,0,0.12,0.12
