Year,uba_km2,uba_km2_exposed,percent_uba_exposed
1985,9.58,0.07,0.72%
1986,9.58,0.07,0.72%
1987,9.58,0.07,0.72%
1988,9.58,0.07,0.72%
1989,9.58,0.07,0.72%
1990,9.58,0.07,0.72%
1991,9.58,0.07,0.72%
1992,9.58,0.07,0.72%
1993,9.58,0.07,0.72%
1994,9.89,0.07,0.74%
1995,10.17,0.07,0.74%
1996,10.46,0.08,0.73%
1997,10.82,0.08,0.70%
1998,11.01,0.08,0.71%
1999,11.12,0.08,0.71%
2000,11.21,0.08,0.71%
2001,11.29,0.08,0.72%
2002,11.41,0.08,0.71%
2003,12.09,0.09,0.71%
2004,12.22,0.09,0.71%
2005,12.38,0.09,0.71%
2006,12.52,0.09,0.73%
2007,12.65,0.09,0.73%
2008,12.76,0.09,0.72%
2009,13,0.09,0.72%
2010,13.26,0.1,0.77%
2011,13.46,0.1,0.78%
2012,13.66,0.11,0.77%
2013,13.79,0.11,0.76%
2014,13.88,0.11,0.77%
2015,13.98,0.11,0.77%
2016,14.01,0.11,0.77%
2017,14.67,0.11,0.76%
2018,14.88,0.11,0.75%
2019,15.01,0.11,0.76%
2020,15.15,0.11,0.76%
2021,15.29,0.12,0.75%
2022,15.41,0.12,0.75%
2023,15.55,0.12,0.74%
2024,15.66,0.12,0.74%
2025,15.81,0.12,0.74%
