year,cumulative_sq_km,exposed_km2,percent_exposed
1985,9.429,0.09139206318854268,0.97%
1994,9.74,0.09546686855363697,0.98%
1995,10.015,0.09779532876226224,0.98%
1996,10.303,0.10070590402304386,0.98%
1997,10.652,0.10303436423166916,0.97%
1998,10.84,0.10652705454460708,0.98%
1999,10.946,0.10652705454460708,0.97%
2000,11.033,0.1071091695967634,0.97%
2001,11.12,0.11001974485754502,0.99%
2002,11.235,0.11060185990970137,0.98%
2003,11.926,0.11991570074420252,1.01%
2004,12.058,0.12107993084851516,1.00%
2005,12.224,0.12282627600498414,1.00%
2006,12.358,0.12515473621360942,1.01%
2007,12.492,0.12515473621360942,1.00%
2008,12.601,0.12515473621360942,0.99%
2009,12.832,0.13388646199595428,1.04%
2010,13.087,0.14611087809123705,1.12%
2011,13.288,0.14843933829986233,1.12%
2012,13.49,0.15076779850848762,1.12%
2013,13.614,0.15251414366495658,1.12%
2014,13.695,0.15775317913436349,1.15%
2015,13.795,0.16706701996886464,1.21%
