yearName,population,populationGrowthPercentage,uba,growth_percentage,density,populationUrbanGrowthRatio
2015,85222.19211563468,inf,19.834,2.643,4296.773,inf
2015,85222.19211563468,inf,13.494,0.569,6315.562,inf
2015,85222.19211563468,inf,13.795,0.73,6177.759,inf
2016,86798.75564079732,1.85,13.826,,6277.937,
2016,86798.75564079732,1.85,13.826,0.225,6277.937,8.222
2017,88391.74828776345,1.835,14.491,4.813,6099.769,0.381
2017,88391.74828776345,1.835,14.491,4.813,6099.769,0.381
2019,91673.8486442212,3.713,14.817,0.878,6187.072,4.229
2019,91673.8486442212,3.713,14.817,0.878,6187.072,4.229
2020,93482.04037034698,1.972,14.955,0.93,6250.889,2.12
2020,93482.04037034698,1.972,14.955,0.93,6250.889,2.12
2021,95394.56060681865,2.046,15.09,0.903,6321.707,2.266
2021,95394.56060681865,2.046,15.09,0.903,6321.707,2.266
2022,97428.124154225,2.132,15.199,0.721,6410.167,2.957
2022,97428.124154225,2.132,15.199,0.721,6410.167,2.957
2023,99515.74985509552,2.143,15.334,0.889,6489.875,2.411
2023,99515.74985509552,2.143,15.334,0.889,6489.875,2.411
2024,101638.92893572897,2.134,15.443,0.714,6581.553,2.989
2024,101638.92893572897,2.134,15.443,0.714,6581.553,2.989
2025,103720.89139533788,2.048,15.603,1.032,6647.497,1.984
2025,103720.89139533788,2.048,15.603,1.032,6647.497,1.984
