month,max,min,mean
1,2.190000057220459,2.130000114440918,2.1637113094329834
2,2.9200000762939453,2.869999885559082,2.897010326385498
3,3.450000047683716,3.4000000953674316,3.4273197650909424
4,4.289999961853027,4.239999771118164,4.2615461349487305
5,4.860000133514404,4.800000190734863,4.825257778167725
6,5.130000114440918,5.079999923706055,5.100412368774414
7,5.179999828338623,5.119999885559082,5.141442775726318
8,5.150000095367432,5.099999904632568,5.119381427764893
9,4.820000171661377,4.760000228881836,4.790205955505371
10,3.640000104904175,3.5899999141693115,3.6121647357940674
11,2.630000114440918,2.549999952316284,2.5897936820983887
12,1.9199999570846558,1.8700000047683716,1.9030927419662476
