year,cumulative_sq_km
1985,12.34012364940314
1986,12.34012364940314
1987,12.34012364940314
1988,12.34012364940314
1989,12.34012364940314
1990,12.34012364940314
1991,12.34012364940314
1992,12.34012364940314
1993,12.34012364940314
1994,12.715021611748082
1995,13.043064072505436
1996,13.37110360116663
1997,13.944925386276456
1998,14.258015574532152
1999,14.404716873573987
2000,14.52356904384944
2001,14.639023883426018
2002,14.852927399828818
2003,16.216547768912196
2004,16.412827047383356
2005,16.730005290742216
2006,16.94667505439139
2007,17.180288135202748
2008,17.369086730330547
2009,17.820719484982366
2010,18.30364858723292
2011,18.660896576771304
2012,19.024958463885575
2013,19.340781973717178
2014,19.545196382283432
2015,20.063376357822296
