year,cumulative_sq_km,source,growth_percentage
1985,12.21,WSF Evolution,
1994,12.58,WSF Evolution,3.032
1995,12.906,WSF Evolution,2.588
1996,13.231,WSF Evolution,2.518
1997,13.796,WSF Evolution,4.273
1998,14.104,WSF Evolution,2.228
1999,14.249,WSF Evolution,1.03
2000,14.367,WSF Evolution,0.83
2001,14.481,WSF Evolution,0.79
2002,14.692,WSF Evolution,1.46
2003,16.036,WSF Evolution,9.15
2004,16.231,WSF Evolution,1.213
2005,16.544,WSF Evolution,1.931
2006,16.76,WSF Evolution,1.303
2007,16.989,WSF Evolution,1.366
2008,17.173,WSF Evolution,1.086
2009,17.617,WSF Evolution,2.584
2010,18.097,WSF Evolution,2.726
2011,18.451,WSF Evolution,1.956
2012,18.811,WSF Evolution,1.948
2013,19.121,WSF Evolution,1.648
2014,19.324,WSF Evolution,1.06
2015,19.834,WSF Evolution,2.643
1985,9.329,WSF Evolution (masked),
1994,9.637,WSF Evolution (masked),3.302
1995,9.912,WSF Evolution (masked),2.853
1996,10.193,WSF Evolution (masked),2.835
1997,10.527,WSF Evolution (masked),3.274
1998,10.71,WSF Evolution (masked),1.739
1999,10.817,WSF Evolution (masked),0.997
2000,10.898,WSF Evolution (masked),0.749
2001,10.977,WSF Evolution (masked),0.731
2002,11.09,WSF Evolution (masked),1.022
2003,11.759,WSF Evolution (masked),6.037
2004,11.884,WSF Evolution (masked),1.063
2005,12.033,WSF Evolution (masked),1.256
2006,12.16,WSF Evolution (masked),1.055
2007,12.291,WSF Evolution (masked),1.072
2008,12.399,WSF Evolution (masked),0.879
2009,12.622,WSF Evolution (masked),1.803
2010,12.858,WSF Evolution (masked),1.868
2011,13.045,WSF Evolution (masked),1.455
2012,13.232,WSF Evolution (masked),1.434
2013,13.346,WSF Evolution (masked),0.863
2014,13.417,WSF Evolution (masked),0.531
2015,13.494,WSF Evolution (masked),0.569
2016,13.826,WSF Tracker,
2017,14.491,WSF Tracker,4.813
2018,14.688,WSF Tracker,1.357
2019,14.817,WSF Tracker,0.878
2020,14.955,WSF Tracker,0.93
2021,15.09,WSF Tracker,0.903
2022,15.199,WSF Tracker,0.721
2023,15.334,WSF Tracker,0.889
2024,15.443,WSF Tracker,0.714
2025,15.603,WSF Tracker,1.032
1985,9.429,WSF Harmonized,
1994,9.74,WSF Harmonized,3.296
1995,10.015,WSF Harmonized,2.83
1996,10.303,WSF Harmonized,2.873
1997,10.652,WSF Harmonized,3.39
1998,10.84,WSF Harmonized,1.757
1999,10.946,WSF Harmonized,0.985
2000,11.033,WSF Harmonized,0.796
2001,11.12,WSF Harmonized,0.784
2002,11.235,WSF Harmonized,1.039
2003,11.926,WSF Harmonized,6.145
2004,12.058,WSF Harmonized,1.105
2005,12.224,WSF Harmonized,1.378
2006,12.358,WSF Harmonized,1.1
2007,12.492,WSF Harmonized,1.082
2008,12.601,WSF Harmonized,0.876
2009,12.832,WSF Harmonized,1.833
2010,13.087,WSF Harmonized,1.985
2011,13.288,WSF Harmonized,1.538
2012,13.49,WSF Harmonized,1.515
2013,13.614,WSF Harmonized,0.921
2014,13.695,WSF Harmonized,0.595
2015,13.795,WSF Harmonized,0.73
2016,13.826,WSF Harmonized,0.225
2017,14.491,WSF Harmonized,4.813
2018,14.688,WSF Harmonized,1.357
2019,14.817,WSF Harmonized,0.878
2020,14.955,WSF Harmonized,0.93
2021,15.09,WSF Harmonized,0.903
2022,15.199,WSF Harmonized,0.721
2023,15.334,WSF Harmonized,0.889
2024,15.443,WSF Harmonized,0.714
2025,15.603,WSF Harmonized,1.032
