year,month,cumulative_sq_km
2016,6,7.996666698136162
2017,1,8.092725485747708
2017,6,8.308939458851277
2018,1,8.370444663367444
2018,6,8.414138489883229
2019,1,8.445757831295397
2019,6,8.4837158516872
2020,1,8.524769340238802
2020,6,8.552615556984295
2021,1,8.589064304564095
2021,6,8.615324760198442
2022,1,8.64113232455482
2022,6,8.678106520352605
2023,1,8.710631163399997
2023,6,8.739684290061545
2024,1,8.769869278109962
2024,6,8.788584290388602
2025,1,8.817562408529724
2025,6,8.848652936207483
