year,cumulative_sq_km,exposed_km2,percent_exposed
1985,11.107,3.863497601161515,34.78%
1994,12.278,4.199377986255714,34.20%
1995,13.347,4.516048574628753,33.84%
1996,14.045,4.680205019336836,33.32%
1997,14.466,4.813509366280634,33.27%
1998,14.996,4.974173120675779,33.17%
1999,15.62,5.1336726449666115,32.87%
2000,15.966,5.209347601746933,32.63%
2001,16.326,5.278619292953536,32.33%
2002,16.657,5.346144639003669,32.10%
2003,17.084,5.493419747199219,32.16%
2004,17.421,5.5743337394489485,32.00%
2005,17.8,5.647680236020645,31.73%
2006,18.059,5.715205582070778,31.65%
2007,18.364,5.787387848538162,31.51%
2008,18.708,5.838031858075762,31.21%
2009,19.043,5.9265133460035235,31.12%
2010,19.233,5.961440249132903,31.00%
2011,19.411,5.996367152262283,30.89%
2012,19.553,6.046429046747726,30.92%
2013,19.683,6.092998250920232,30.96%
2014,19.867,6.17565858832643,31.09%
2015,20.04,6.334575997565106,31.61%
