year,cumulative_sq_km,exposed_km2,percent_exposed
1985,11.107,1.4314209132523978,12.89%
1994,12.278,1.5338731624319106,12.49%
1995,13.347,1.6252652256204534,12.18%
1996,14.045,1.667759624427865,11.87%
1997,14.466,1.7067613329223386,11.80%
1998,14.996,1.7480915016254377,11.66%
1999,15.62,1.806885121893226,11.57%
2000,15.966,1.8255128035622283,11.43%
2001,16.326,1.8522900959614192,11.35%
2002,16.657,1.8808137335170791,11.29%
2003,17.084,1.9529959999844633,11.43%
2004,17.421,1.973952141862091,11.33%
2005,17.8,1.9943261686875624,11.20%
2006,18.059,2.0181928858259712,11.18%
2007,18.364,2.043223833068693,11.13%
2008,18.708,2.058940939476914,11.01%
2009,19.043,2.082807656615323,10.94%
2010,19.233,2.095614187762762,10.90%
2011,19.411,2.110749179118826,10.87%
2012,19.553,2.123555710266266,10.86%
2013,19.683,2.135780126361549,10.85%
2014,19.867,2.166632224125834,10.91%
2015,20.04,2.2423071809061557,11.19%
