year,cumulative_sq_km,exposed_km2,percent_exposed
1985,11.107,3.6079490932648888,32.48%
1994,12.278,3.923455451533615,31.96%
1995,13.347,4.230812199072154,31.70%
1996,14.045,4.390311723362986,31.26%
1997,14.466,4.518377034837377,31.23%
1998,14.996,4.6691448333458645,31.14%
1999,15.62,4.821076861958665,30.86%
2000,15.966,4.894423358530362,30.66%
2001,16.326,4.9596202443718695,30.38%
2002,16.657,5.023652900109065,30.16%
2003,17.084,5.152300326635612,30.16%
2004,17.421,5.230885858676716,30.03%
2005,17.8,5.3013217799876315,29.78%
2006,18.059,5.364190205620514,29.70%
2007,18.364,5.43287978177496,29.58%
2008,18.708,5.480613216051778,29.30%
2009,19.043,5.563855668510133,29.22%
2010,19.233,5.5976183415352,29.10%
2011,19.411,5.63254524466458,29.02%
2012,19.553,5.68144290904571,29.06%
2013,19.683,5.7256836530095905,29.09%
2014,19.867,5.803104954946382,29.21%
2015,20.04,5.953290638402713,29.71%
