year,cumulative_sq_km,exposed_km2,percent_exposed,type
1985,11.107,1.4314209132523978,12.89%,River
1994,12.278,1.5338731624319106,12.49%,River
1995,13.347,1.6252652256204534,12.18%,River
1996,14.045,1.667759624427865,11.87%,River
1997,14.466,1.7067613329223386,11.80%,River
1998,14.996,1.7480915016254377,11.66%,River
1999,15.62,1.806885121893226,11.57%,River
2000,15.966,1.8255128035622283,11.43%,River
2001,16.326,1.8522900959614192,11.35%,River
2002,16.657,1.8808137335170791,11.29%,River
2003,17.084,1.9529959999844633,11.43%,River
2004,17.421,1.973952141862091,11.33%,River
2005,17.8,1.9943261686875624,11.20%,River
2006,18.059,2.0181928858259712,11.18%,River
2007,18.364,2.043223833068693,11.13%,River
2008,18.708,2.058940939476914,11.01%,River
2009,19.043,2.082807656615323,10.94%,River
2010,19.233,2.095614187762762,10.90%,River
2011,19.411,2.110749179118826,10.87%,River
2012,19.553,2.123555710266266,10.86%,River
2013,19.683,2.135780126361549,10.85%,River
2014,19.867,2.166632224125834,10.91%,River
2015,20.04,2.2423071809061557,11.19%,River
1985,11.107,3.6079490932648888,32.48%,Rainwater
1994,12.278,3.923455451533615,31.96%,Rainwater
1995,13.347,4.230812199072154,31.70%,Rainwater
1996,14.045,4.390311723362986,31.26%,Rainwater
1997,14.466,4.518377034837377,31.23%,Rainwater
1998,14.996,4.6691448333458645,31.14%,Rainwater
1999,15.62,4.821076861958665,30.86%,Rainwater
2000,15.966,4.894423358530362,30.66%,Rainwater
2001,16.326,4.9596202443718695,30.38%,Rainwater
2002,16.657,5.023652900109065,30.16%,Rainwater
2003,17.084,5.152300326635612,30.16%,Rainwater
2004,17.421,5.230885858676716,30.03%,Rainwater
2005,17.8,5.3013217799876315,29.78%,Rainwater
2006,18.059,5.364190205620514,29.70%,Rainwater
2007,18.364,5.43287978177496,29.58%,Rainwater
2008,18.708,5.480613216051778,29.30%,Rainwater
2009,19.043,5.563855668510133,29.22%,Rainwater
2010,19.233,5.5976183415352,29.10%,Rainwater
2011,19.411,5.63254524466458,29.02%,Rainwater
2012,19.553,5.68144290904571,29.06%,Rainwater
2013,19.683,5.7256836530095905,29.09%,Rainwater
2014,19.867,5.803104954946382,29.21%,Rainwater
2015,20.04,5.953290638402713,29.71%,Rainwater
1985,11.107,3.863497601161515,34.78%,Combined
1994,12.278,4.199377986255714,34.20%,Combined
1995,13.347,4.516048574628753,33.84%,Combined
1996,14.045,4.680205019336836,33.32%,Combined
1997,14.466,4.813509366280634,33.27%,Combined
1998,14.996,4.974173120675779,33.17%,Combined
1999,15.62,5.1336726449666115,32.87%,Combined
2000,15.966,5.209347601746933,32.63%,Combined
2001,16.326,5.278619292953536,32.33%,Combined
2002,16.657,5.346144639003669,32.10%,Combined
2003,17.084,5.493419747199219,32.16%,Combined
2004,17.421,5.5743337394489485,32.00%,Combined
2005,17.8,5.647680236020645,31.73%,Combined
2006,18.059,5.715205582070778,31.65%,Combined
2007,18.364,5.787387848538162,31.51%,Combined
2008,18.708,5.838031858075762,31.21%,Combined
2009,19.043,5.9265133460035235,31.12%,Combined
2010,19.233,5.961440249132903,31.00%,Combined
2011,19.411,5.996367152262283,30.89%,Combined
2012,19.553,6.046429046747726,30.92%,Combined
2013,19.683,6.092998250920232,30.96%,Combined
2014,19.867,6.17565858832643,31.09%,Combined
2015,20.04,6.334575997565106,31.61%,Combined
