yearName,population,populationGrowthPercentage,uba,growth_percentage,density,populationUrbanGrowthRatio
2015,25200.266166061163,,23.04,1.64,1093.762,
2015,25200.266166061163,,18.775,0.564,1342.225,
2015,25200.266166061163,,20.04,0.873,1257.498,
2016,25639.041943356395,1.741,20.155,,1272.093,
2016,25639.041943356395,1.741,20.155,0.572,1272.093,3.044
2017,26064.353183843195,1.659,20.631,2.363,1263.359,0.702
2017,26064.353183843195,1.659,20.631,2.363,1263.359,0.702
2018,0.0,-100.0,20.891,1.259,0.0,-79.428
2018,0.0,-100.0,20.891,1.259,0.0,-79.428
2019,26955.12675743131,inf,21.092,0.962,1277.979,inf
2019,26955.12675743131,inf,21.092,0.962,1277.979,inf
2020,27455.330243804725,1.856,21.331,1.135,1287.109,1.635
2020,27455.330243804725,1.856,21.331,1.135,1287.109,1.635
2021,27971.548635936346,1.88,21.525,0.911,1299.491,2.064
2021,27971.548635936346,1.88,21.525,0.911,1299.491,2.064
2022,28516.296813711524,1.948,21.705,0.837,1313.812,2.327
2022,28516.296813711524,1.948,21.705,0.837,1313.812,2.327
2023,29090.52154393401,2.014,22.041,1.548,1319.837,1.301
2023,29090.52154393401,2.014,22.041,1.548,1319.837,1.301
2024,29667.93724553846,1.985,22.293,1.141,1330.819,1.74
2024,29667.93724553846,1.985,22.293,1.141,1330.819,1.74
2025,30237.445489062928,1.92,22.633,1.528,1335.989,1.257
2025,30237.445489062928,1.92,22.633,1.528,1335.989,1.257
