month,max,min,mean
1,2.619999885559082,2.5,2.5845916271209717
2,3.130000114440918,3.069999933242798,3.1067349910736084
3,3.7100000381469727,3.640000104904175,3.674286127090454
4,4.539999961853027,4.46999979019165,4.505612373352051
5,5.03000020980835,4.960000038146973,5.002040863037109
6,5.380000114440918,5.28000020980835,5.337347507476807
7,5.460000038146973,5.360000133514404,5.419795989990234
8,5.389999866485596,5.309999942779541,5.359387397766113
9,5.090000152587891,5.0,5.05367374420166
10,3.930000066757202,3.859999895095825,3.898367166519165
11,2.8499999046325684,2.7799999713897705,2.821122169494629
12,2.299999952316284,2.180000066757202,2.2579591274261475
