year,yearName,1-in-10 year,1-in-100 year,"1-in-1,000 year",total
1,1985,0.41,1.81,3.3,3.3
2,1986,0.41,1.81,3.3,3.3
3,1987,0.41,1.81,3.3,3.3
4,1988,0.41,1.81,3.3,3.3
5,1989,0.41,1.81,3.3,3.3
6,1990,0.41,1.81,3.3,3.3
7,1991,0.41,1.81,3.3,3.3
8,1992,0.41,1.81,3.3,3.3
9,1993,0.41,1.81,3.3,3.3
10,1994,0.44,1.98,3.6,3.6
11,1995,0.47,2.13,3.89,3.89
12,1996,0.49,2.21,4.03,4.03
13,1997,0.5,2.27,4.14,4.14
14,1998,0.52,2.34,4.26,4.26
15,1999,0.54,2.41,4.39,4.39
16,2000,0.55,2.44,4.46,4.46
17,2001,0.55,2.47,4.52,4.52
18,2002,0.55,2.51,4.59,4.59
19,2003,0.57,2.57,4.68,4.68
20,2004,0.58,2.6,4.75,4.75
21,2005,0.58,2.64,4.81,4.81
22,2006,0.59,2.68,4.88,4.88
23,2007,0.6,2.72,4.96,4.96
24,2008,0.61,2.74,4.99,4.99
25,2009,0.62,2.79,5.05,5.05
26,2010,0.63,2.8,5.08,5.08
27,2011,0.63,2.82,5.1,5.1
28,2012,0.63,2.84,5.13,5.13
29,2013,0.64,2.86,5.16,5.16
30,2014,0.65,2.9,5.22,5.22
31,2015,0.66,2.93,5.27,5.27
32,2016,0.66,2.96,5.3,5.3
33,2017,0.68,3.02,5.4,5.4
34,2018,0.69,3.04,5.45,5.45
35,2019,0.69,3.07,5.48,5.48
36,2020,0.71,3.11,5.54,5.54
37,2021,0.72,3.12,5.57,5.57
38,2022,0.72,3.13,5.59,5.59
39,2023,0.72,3.17,5.65,5.65
40,2024,0.73,3.21,5.7,5.7
41,2025,0.73,3.24,5.76,5.76
