year,yearName,1-in-10 year,1-in-100 year,"1-in-1,000 year",total
1,1985,0.23,0.74,1.21,1.21
2,1986,0.23,0.74,1.21,1.21
3,1987,0.23,0.74,1.21,1.21
4,1988,0.23,0.74,1.21,1.21
5,1989,0.23,0.74,1.21,1.21
6,1990,0.23,0.74,1.21,1.21
7,1991,0.23,0.74,1.21,1.21
8,1992,0.23,0.74,1.21,1.21
9,1993,0.23,0.74,1.21,1.21
10,1994,0.25,0.79,1.3,1.3
11,1995,0.26,0.84,1.38,1.38
12,1996,0.26,0.86,1.42,1.42
13,1997,0.27,0.87,1.45,1.45
14,1998,0.27,0.88,1.47,1.47
15,1999,0.28,0.9,1.51,1.51
16,2000,0.28,0.91,1.53,1.53
17,2001,0.28,0.92,1.55,1.55
18,2002,0.28,0.94,1.58,1.58
19,2003,0.29,0.95,1.61,1.61
20,2004,0.29,0.97,1.63,1.63
21,2005,0.29,0.98,1.65,1.65
22,2006,0.3,1,1.67,1.67
23,2007,0.3,1.02,1.7,1.7
24,2008,0.31,1.03,1.71,1.71
25,2009,0.31,1.04,1.73,1.73
26,2010,0.31,1.05,1.73,1.73
27,2011,0.31,1.05,1.74,1.74
28,2012,0.32,1.06,1.75,1.75
29,2013,0.32,1.06,1.75,1.75
30,2014,0.32,1.07,1.77,1.77
31,2015,0.32,1.08,1.78,1.78
32,2016,0.32,1.09,1.79,1.79
33,2017,0.32,1.1,1.81,1.81
34,2018,0.33,1.11,1.82,1.82
35,2019,0.33,1.12,1.83,1.83
36,2020,0.34,1.13,1.85,1.85
37,2021,0.34,1.13,1.85,1.85
38,2022,0.34,1.14,1.86,1.86
39,2023,0.34,1.14,1.86,1.86
40,2024,0.34,1.16,1.88,1.88
41,2025,0.34,1.16,1.9,1.9
