Year,uba_km2,uba_km2_exposed,percent_uba_exposed
1985,11.19,3.09,27.64%
1986,11.19,3.09,27.64%
1987,11.19,3.09,27.64%
1988,11.19,3.09,27.64%
1989,11.19,3.09,27.64%
1990,11.19,3.09,27.64%
1991,11.19,3.09,27.64%
1992,11.19,3.09,27.64%
1993,11.19,3.09,27.64%
1994,12.4,3.36,27.10%
1995,13.48,3.64,26.97%
1996,14.18,3.78,26.63%
1997,14.59,3.87,26.55%
1998,15.12,3.99,26.40%
1999,15.74,4.11,26.11%
2000,16.09,4.18,25.98%
2001,16.46,4.24,25.78%
2002,16.8,4.31,25.63%
2003,17.25,4.4,25.49%
2004,17.59,4.46,25.36%
2005,17.96,4.52,25.15%
2006,18.22,4.59,25.17%
2007,18.53,4.66,25.13%
2008,18.89,4.69,24.84%
2009,19.23,4.75,24.70%
2010,19.42,4.78,24.59%
2011,19.6,4.8,24.49%
2012,19.75,4.83,24.45%
2013,19.88,4.86,24.43%
2014,20.07,4.91,24.47%
2015,20.24,4.95,24.48%
2016,20.36,4.97,24.43%
2017,20.86,5.07,24.32%
2018,21.13,5.12,24.22%
2019,21.33,5.15,24.17%
2020,21.58,5.21,24.15%
2021,21.78,5.24,24.04%
2022,21.96,5.26,23.93%
2023,22.28,5.31,23.82%
2024,22.55,5.36,23.77%
2025,22.88,5.41,23.65%
