year,yearName,1-in-10 year,1-in-100 year,"1-in-1,000 year",total
1,1985,0.02,0.45,1.15,1.15
2,1986,0.02,0.45,1.15,1.15
3,1987,0.02,0.45,1.15,1.15
4,1988,0.02,0.45,1.15,1.15
5,1989,0.02,0.45,1.15,1.15
6,1990,0.02,0.45,1.15,1.15
7,1991,0.02,0.45,1.15,1.15
8,1992,0.02,0.45,1.15,1.15
9,1993,0.02,0.45,1.15,1.15
10,1994,0.03,0.46,1.18,1.18
11,1995,0.03,0.47,1.2,1.2
12,1996,0.03,0.47,1.23,1.23
13,1997,0.03,0.5,1.28,1.28
14,1998,0.03,0.51,1.31,1.31
15,1999,0.03,0.51,1.33,1.33
16,2000,0.03,0.52,1.34,1.34
17,2001,0.03,0.53,1.36,1.36
18,2002,0.03,0.55,1.39,1.39
19,2003,0.03,0.6,1.53,1.53
20,2004,0.03,0.61,1.56,1.56
21,2005,0.03,0.62,1.59,1.59
22,2006,0.03,0.64,1.63,1.63
23,2007,0.05,0.66,1.68,1.68
24,2008,0.06,0.68,1.7,1.7
25,2009,0.06,0.73,1.79,1.79
26,2010,0.07,0.76,1.86,1.86
27,2011,0.07,0.79,1.92,1.92
28,2012,0.07,0.81,1.96,1.96
29,2013,0.08,0.82,1.98,1.98
30,2014,0.08,0.82,1.99,1.99
31,2015,0.08,0.84,2.02,2.02
32,2016,0.08,0.84,2.02,2.02
33,2017,0.09,0.89,2.14,2.14
34,2018,0.09,0.9,2.19,2.19
35,2019,0.09,0.92,2.23,2.23
36,2020,0.09,0.94,2.27,2.27
37,2021,0.09,0.96,2.31,2.31
38,2022,0.1,0.99,2.35,2.35
39,2023,0.1,1.01,2.38,2.38
40,2024,0.1,1.02,2.41,2.41
41,2025,0.1,1.04,2.44,2.44
