year,cumulative_sq_km,exposed_km2,percent_exposed
1985,9.429,1.6421465621329867,17.42%
1994,9.74,1.689297881357649,17.34%
1995,10.015,1.7265532446956535,17.24%
1996,10.303,1.7550768822513134,17.03%
1997,10.652,1.8528722110135756,17.39%
1998,10.84,1.9029341054990192,17.55%
1999,10.946,1.931457743054679,17.65%
2000,11.033,1.9529959999844633,17.70%
2001,11.12,1.9855944429052172,17.86%
2002,11.235,2.0414774879122244,18.17%
2003,11.926,2.2888763850786615,19.19%
2004,12.058,2.352326925763701,19.51%
2005,12.224,2.430330342752648,19.88%
2006,12.358,2.490870308176906,20.16%
2007,12.492,2.5712021853744784,20.58%
2008,12.601,2.61369658418189,20.74%
2009,12.832,2.7586432321688146,21.50%
2010,13.087,2.891947579112613,22.10%
2011,13.288,2.989160792822718,22.50%
2012,13.49,3.065999979707353,22.73%
2013,13.614,3.107330148410452,22.82%
2014,13.695,3.1620489633131466,23.09%
2015,13.795,3.2912785048918503,23.86%
