year,cumulative_sq_km,exposed_km2,percent_exposed,type
1985,9.429,0.09139206318854268,0.97%,River
1994,9.74,0.09546686855363697,0.98%,River
1995,10.015,0.09779532876226224,0.98%,River
1996,10.303,0.10070590402304386,0.98%,River
1997,10.652,0.10303436423166916,0.97%,River
1998,10.84,0.10652705454460708,0.98%,River
1999,10.946,0.10652705454460708,0.97%,River
2000,11.033,0.1071091695967634,0.97%,River
2001,11.12,0.11001974485754502,0.99%,River
2002,11.235,0.11060185990970137,0.98%,River
2003,11.926,0.11991570074420252,1.01%,River
2004,12.058,0.12107993084851516,1.00%,River
2005,12.224,0.12282627600498414,1.00%,River
2006,12.358,0.12515473621360942,1.01%,River
2007,12.492,0.12515473621360942,1.00%,River
2008,12.601,0.12515473621360942,0.99%,River
2009,12.832,0.13388646199595428,1.04%,River
2010,13.087,0.14611087809123705,1.12%,River
2011,13.288,0.14843933829986233,1.12%,River
2012,13.49,0.15076779850848762,1.12%,River
2013,13.614,0.15251414366495658,1.12%,River
2014,13.695,0.15775317913436349,1.15%,River
2015,13.795,0.16706701996886464,1.21%,River
1985,9.429,1.6421465621329867,17.42%,Rainwater
1994,9.74,1.689297881357649,17.34%,Rainwater
1995,10.015,1.7265532446956535,17.24%,Rainwater
1996,10.303,1.7550768822513134,17.03%,Rainwater
1997,10.652,1.8528722110135756,17.39%,Rainwater
1998,10.84,1.9029341054990192,17.55%,Rainwater
1999,10.946,1.931457743054679,17.65%,Rainwater
2000,11.033,1.9529959999844633,17.70%,Rainwater
2001,11.12,1.9855944429052172,17.86%,Rainwater
2002,11.235,2.0414774879122244,18.17%,Rainwater
2003,11.926,2.2888763850786615,19.19%,Rainwater
2004,12.058,2.352326925763701,19.51%,Rainwater
2005,12.224,2.430330342752648,19.88%,Rainwater
2006,12.358,2.490870308176906,20.16%,Rainwater
2007,12.492,2.5712021853744784,20.58%,Rainwater
2008,12.601,2.61369658418189,20.74%,Rainwater
2009,12.832,2.7586432321688146,21.50%,Rainwater
2010,13.087,2.891947579112613,22.10%,Rainwater
2011,13.288,2.989160792822718,22.50%,Rainwater
2012,13.49,3.065999979707353,22.73%,Rainwater
2013,13.614,3.107330148410452,22.82%,Rainwater
2014,13.695,3.1620489633131466,23.09%,Rainwater
2015,13.795,3.2912785048918503,23.86%,Rainwater
1985,9.429,1.6421465621329867,17.42%,Combined
1994,9.74,1.689297881357649,17.34%,Combined
1995,10.015,1.7265532446956535,17.24%,Combined
1996,10.303,1.7550768822513134,17.03%,Combined
1997,10.652,1.8528722110135756,17.39%,Combined
1998,10.84,1.9029341054990192,17.55%,Combined
1999,10.946,1.931457743054679,17.65%,Combined
2000,11.033,1.9529959999844633,17.70%,Combined
2001,11.12,1.9855944429052172,17.86%,Combined
2002,11.235,2.0414774879122244,18.17%,Combined
2003,11.926,2.2888763850786615,19.19%,Combined
2004,12.058,2.352326925763701,19.51%,Combined
2005,12.224,2.430330342752648,19.88%,Combined
2006,12.358,2.490870308176906,20.16%,Combined
2007,12.492,2.5712021853744784,20.58%,Combined
2008,12.601,2.61369658418189,20.74%,Combined
2009,12.832,2.7586432321688146,21.50%,Combined
2010,13.087,2.891947579112613,22.10%,Combined
2011,13.288,2.989160792822718,22.50%,Combined
2012,13.49,3.065999979707353,22.73%,Combined
2013,13.614,3.107330148410452,22.82%,Combined
2014,13.695,3.1620489633131466,23.09%,Combined
2015,13.795,3.2912785048918503,23.86%,Combined
