Year,uba_km2,uba_km2_exposed,percent_uba_exposed
1985,9.58,1.15,12.03%
1986,9.58,1.15,12.03%
1987,9.58,1.15,12.03%
1988,9.58,1.15,12.03%
1989,9.58,1.15,12.03%
1990,9.58,1.15,12.03%
1991,9.58,1.15,12.03%
1992,9.58,1.15,12.03%
1993,9.58,1.15,12.03%
1994,9.89,1.18,11.91%
1995,10.17,1.2,11.84%
1996,10.46,1.23,11.74%
1997,10.82,1.28,11.85%
1998,11.01,1.31,11.90%
1999,11.12,1.33,11.97%
2000,11.21,1.34,11.97%
2001,11.29,1.36,12.07%
2002,11.41,1.39,12.22%
2003,12.09,1.53,12.65%
2004,12.22,1.56,12.80%
2005,12.38,1.59,12.88%
2006,12.52,1.63,13.03%
2007,12.65,1.68,13.27%
2008,12.76,1.7,13.35%
2009,13,1.79,13.75%
2010,13.26,1.86,14.05%
2011,13.46,1.92,14.26%
2012,13.66,1.96,14.32%
2013,13.79,1.98,14.33%
2014,13.88,1.99,14.37%
2015,13.98,2.02,14.46%
2016,14.01,2.02,14.44%
2017,14.67,2.14,14.57%
2018,14.88,2.19,14.71%
2019,15.01,2.23,14.87%
2020,15.15,2.27,15.01%
2021,15.29,2.31,15.11%
2022,15.41,2.35,15.27%
2023,15.55,2.38,15.34%
2024,15.66,2.41,15.37%
2025,15.81,2.44,15.42%
