year,yearName,1-in-10 year,1-in-100 year,"1-in-1,000 year",total
1,1985,0.02,1.66,3.98,3.98
2,1986,0.02,1.66,3.98,3.98
3,1987,0.02,1.67,4,4
4,1988,0.02,1.71,4.11,4.11
5,1989,0.02,1.8,4.34,4.34
6,1990,0.03,1.96,4.67,4.67
7,1991,0.03,2.22,5.11,5.11
8,1992,0.04,2.25,5.17,5.17
9,1993,0.04,2.35,5.33,5.33
10,1994,0.04,2.39,5.42,5.42
11,1995,0.04,2.85,6.24,6.24
12,1996,0.04,3.08,6.55,6.55
13,1997,0.04,3.11,6.59,6.59
14,1998,0.04,3.12,6.6,6.6
15,1999,0.04,3.14,6.63,6.63
16,2000,0.04,3.19,6.71,6.71
17,2001,0.04,3.29,6.83,6.83
18,2002,0.04,3.34,6.89,6.89
19,2003,0.04,3.35,6.9,6.9
20,2004,0.05,3.42,7.03,7.03
21,2005,0.05,3.5,7.15,7.15
22,2006,0.05,3.56,7.25,7.25
23,2007,0.05,3.58,7.29,7.29
24,2008,0.05,3.63,7.36,7.36
25,2009,0.05,3.69,7.43,7.43
26,2010,0.05,3.7,7.46,7.46
27,2011,0.05,3.71,7.47,7.47
28,2012,0.05,3.72,7.48,7.48
29,2013,0.05,3.76,7.51,7.51
30,2014,0.05,3.76,7.52,7.52
31,2015,0.05,3.78,7.55,7.55
32,2016,0.05,3.89,7.7,7.7
33,2017,0.05,3.96,7.86,7.86
34,2018,0.05,4.02,7.96,7.96
35,2019,0.05,4.12,8.09,8.09
36,2020,0.05,4.31,8.36,8.36
37,2021,0.06,4.4,8.5,8.5
38,2022,0.06,4.48,8.62,8.62
39,2023,0.06,4.59,8.77,8.77
40,2024,0.07,4.65,8.85,8.85
41,2025,0.07,4.81,9.04,9.04
