Year,uba_km2,uba_km2_exposed,percent_uba_exposed
1985,13.37,3.98,29.78%
1986,13.38,3.98,29.74%
1987,13.47,4,29.72%
1988,13.88,4.11,29.63%
1989,14.48,4.34,29.95%
1990,15.5,4.67,30.10%
1991,16.52,5.11,30.94%
1992,16.66,5.17,31.04%
1993,16.9,5.33,31.54%
1994,17.13,5.42,31.61%
1995,18.83,6.24,33.12%
1996,19.4,6.55,33.76%
1997,19.47,6.59,33.82%
1998,19.5,6.6,33.84%
1999,19.56,6.63,33.93%
2000,19.72,6.71,34.06%
2001,19.87,6.83,34.40%
2002,19.96,6.89,34.54%
2003,19.98,6.9,34.56%
2004,20.2,7.03,34.81%
2005,20.37,7.15,35.11%
2006,20.51,7.25,35.33%
2007,20.57,7.29,35.44%
2008,20.67,7.36,35.60%
2009,20.82,7.43,35.70%
2010,20.85,7.46,35.76%
2011,20.87,7.47,35.78%
2012,20.88,7.48,35.81%
2013,20.92,7.51,35.91%
2014,20.93,7.52,35.92%
2015,20.96,7.55,36.02%
2016,21.15,7.7,36.42%
2017,21.47,7.86,36.60%
2018,21.64,7.96,36.78%
2019,21.83,8.09,37.07%
2020,22.2,8.36,37.66%
2021,22.52,8.5,37.74%
2022,22.72,8.62,37.97%
2023,22.95,8.77,38.22%
2024,23.05,8.85,38.39%
2025,23.3,9.04,38.81%
