year,yearName,1-in-10 year,1-in-100 year,"1-in-1,000 year",total
1,1985,0,1.41,3.68,3.68
2,1986,0,1.41,3.69,3.69
3,1987,0,1.42,3.71,3.71
4,1988,0,1.46,3.81,3.81
5,1989,0,1.54,4.02,4.02
6,1990,0,1.69,4.33,4.33
7,1991,0,1.94,4.74,4.74
8,1992,0,1.96,4.79,4.79
9,1993,0,2.06,4.94,4.94
10,1994,0,2.1,5.02,5.02
11,1995,0,2.55,5.8,5.8
12,1996,0,2.77,6.1,6.1
13,1997,0,2.79,6.13,6.13
14,1998,0,2.8,6.15,6.15
15,1999,0,2.83,6.18,6.18
16,2000,0,2.87,6.25,6.25
17,2001,0,2.98,6.37,6.37
18,2002,0,3.02,6.43,6.43
19,2003,0,3.03,6.44,6.44
20,2004,0,3.09,6.56,6.56
21,2005,0,3.16,6.67,6.67
22,2006,0,3.21,6.76,6.76
23,2007,0,3.23,6.8,6.8
24,2008,0,3.28,6.87,6.87
25,2009,0,3.33,6.94,6.94
26,2010,0,3.33,6.96,6.96
27,2011,0,3.34,6.97,6.97
28,2012,0,3.35,6.98,6.98
29,2013,0,3.39,7.02,7.02
30,2014,0,3.39,7.02,7.02
31,2015,0,3.41,7.06,7.06
32,2016,0,3.52,7.21,7.21
33,2017,0,3.58,7.35,7.35
34,2018,0,3.64,7.46,7.46
35,2019,0,3.73,7.59,7.59
36,2020,0,3.91,7.85,7.85
37,2021,0,4,7.98,7.98
38,2022,0,4.07,8.1,8.1
39,2023,0,4.18,8.25,8.25
40,2024,0,4.23,8.32,8.32
41,2025,0,4.39,8.52,8.52
