year,yearName,1-in-10 year,1-in-100 year,"1-in-1,000 year",total
1,1985,0.02,0.46,1.64,1.64
2,1986,0.02,0.46,1.64,1.64
3,1987,0.02,0.46,1.64,1.64
4,1988,0.02,0.47,1.67,1.67
5,1989,0.02,0.49,1.75,1.75
6,1990,0.03,0.53,1.86,1.86
7,1991,0.03,0.55,1.99,1.99
8,1992,0.04,0.55,2.02,2.02
9,1993,0.04,0.56,2.06,2.06
10,1994,0.04,0.57,2.09,2.09
11,1995,0.04,0.61,2.31,2.31
12,1996,0.04,0.64,2.43,2.43
13,1997,0.04,0.64,2.44,2.44
14,1998,0.04,0.64,2.45,2.45
15,1999,0.04,0.64,2.46,2.46
16,2000,0.04,0.65,2.48,2.48
17,2001,0.04,0.66,2.55,2.55
18,2002,0.04,0.68,2.59,2.59
19,2003,0.04,0.69,2.59,2.59
20,2004,0.05,0.71,2.67,2.67
21,2005,0.05,0.72,2.72,2.72
22,2006,0.05,0.75,2.79,2.79
23,2007,0.05,0.76,2.82,2.82
24,2008,0.05,0.79,2.87,2.87
25,2009,0.05,0.81,2.93,2.93
26,2010,0.05,0.83,2.95,2.95
27,2011,0.05,0.83,2.96,2.96
28,2012,0.05,0.83,2.96,2.96
29,2013,0.05,0.84,3,3
30,2014,0.05,0.84,3,3
31,2015,0.05,0.86,3.02,3.02
32,2016,0.05,0.87,3.08,3.08
33,2017,0.05,0.89,3.14,3.14
34,2018,0.05,0.91,3.18,3.18
35,2019,0.05,0.94,3.25,3.25
36,2020,0.05,1.02,3.42,3.42
37,2021,0.06,1.05,3.49,3.49
38,2022,0.06,1.09,3.56,3.56
39,2023,0.06,1.12,3.65,3.65
40,2024,0.07,1.15,3.69,3.69
41,2025,0.07,1.17,3.81,3.81
