year,cumulative_sq_km,exposed_km2,percent_exposed
1985,13.232,4.240708154958812,32.05%
1986,13.25,4.24245450011528,32.02%
1987,13.338,4.265156987149377,31.98%
1988,13.741,4.3850726878935795,31.91%
1989,14.342,4.645860231259612,32.39%
1990,15.372,4.9869796518232175,32.44%
1991,16.383,5.4858522515211865,33.49%
1992,16.525,5.545810101893288,33.56%
1993,16.767,5.70705597134059,34.04%
1994,16.999,5.795537459268351,34.09%
1995,18.677,6.7129507814667155,35.94%
1996,19.249,7.056398662238946,36.66%
1997,19.324,7.101221521254983,36.75%
1998,19.354,7.118102857767516,36.78%
1999,19.406,7.155358221105521,36.87%
2000,19.563,7.251407204711314,37.07%
2001,19.711,7.401010773115489,37.55%
2002,19.802,7.459222278331121,37.67%
2003,19.827,7.470864579374248,37.68%
2004,20.064,7.650156015438395,38.13%
2005,20.222,7.779385557017099,38.47%
2006,20.355,7.922585859847554,38.92%
2007,20.416,7.990111205897687,39.14%
2008,20.513,8.093145570129357,39.45%
2009,20.657,8.169984757013992,39.55%
2010,20.692,8.203747430039058,39.65%
2011,20.708,8.230524722438249,39.75%
2012,20.722,8.252645094420188,39.83%
2013,20.768,8.303871219009945,39.98%
2014,20.773,8.313767174896602,40.02%
2015,20.806,8.370814450007922,40.23%
