year,cumulative_sq_km,exposed_km2,percent_exposed,type
1985,13.232,4.240708154958812,32.05%,River
1986,13.25,4.24245450011528,32.02%,River
1987,13.338,4.265156987149377,31.98%,River
1988,13.741,4.3850726878935795,31.91%,River
1989,14.342,4.645860231259612,32.39%,River
1990,15.372,4.9869796518232175,32.44%,River
1991,16.383,5.4858522515211865,33.49%,River
1992,16.525,5.545810101893288,33.56%,River
1993,16.767,5.70705597134059,34.04%,River
1994,16.999,5.795537459268351,34.09%,River
1995,18.677,6.7129507814667155,35.94%,River
1996,19.249,7.056398662238946,36.66%,River
1997,19.324,7.101221521254983,36.75%,River
1998,19.354,7.118102857767516,36.78%,River
1999,19.406,7.155358221105521,36.87%,River
2000,19.563,7.251407204711314,37.07%,River
2001,19.711,7.401010773115489,37.55%,River
2002,19.802,7.459222278331121,37.67%,River
2003,19.827,7.470864579374248,37.68%,River
2004,20.064,7.650156015438395,38.13%,River
2005,20.222,7.779385557017099,38.47%,River
2006,20.355,7.922585859847554,38.92%,River
2007,20.416,7.990111205897687,39.14%,River
2008,20.513,8.093145570129357,39.45%,River
2009,20.657,8.169984757013992,39.55%,River
2010,20.692,8.203747430039058,39.65%,River
2011,20.708,8.230524722438249,39.75%,River
2012,20.722,8.252645094420188,39.83%,River
2013,20.768,8.303871219009945,39.98%,River
2014,20.773,8.313767174896602,40.02%,River
2015,20.806,8.370814450007922,40.23%,River
1985,13.232,1.983265982696592,14.99%,Rainwater
1986,13.25,1.983265982696592,14.97%,Rainwater
1987,13.338,1.9844302128009048,14.88%,Rainwater
1988,13.741,2.031581532025567,14.78%,Rainwater
1989,14.342,2.13869070162233,14.91%,Rainwater
1990,15.372,2.2714129335139717,14.78%,Rainwater
1991,16.383,2.4495401394738066,14.95%,Rainwater
1992,16.525,2.481556467342404,15.02%,Rainwater
1993,16.767,2.5356931671929424,15.12%,Rainwater
1994,16.999,2.57236641547879,15.13%,Rainwater
1995,18.677,2.911739490885927,15.59%,Rainwater
1996,19.249,3.07589593559401,15.98%,Rainwater
1997,19.324,3.0910309269500744,16.00%,Rainwater
1998,19.354,3.0985984226281067,16.01%,Rainwater
1999,19.406,3.105583803253982,16.00%,Rainwater
2000,19.563,3.142257051539831,16.06%,Rainwater
2001,19.711,3.2400523803020933,16.44%,Rainwater
2002,19.802,3.271486593118534,16.52%,Rainwater
2003,19.827,3.2819646640573485,16.55%,Rainwater
2004,20.064,3.3989697895407693,16.94%,Rainwater
2005,20.222,3.4624203302258083,17.12%,Rainwater
2006,20.355,3.567201039613946,17.52%,Rainwater
2007,20.416,3.613188128734296,17.70%,Rainwater
2008,20.513,3.6911915457232434,17.99%,Rainwater
2009,20.657,3.738924980000062,18.10%,Rainwater
2010,20.692,3.768030732607878,18.21%,Rainwater
2011,20.708,3.7907332196419743,18.31%,Rainwater
2012,20.722,3.807614556154508,18.37%,Rainwater
2013,20.768,3.8524374151705447,18.55%,Rainwater
2014,20.773,3.858840680744264,18.58%,Rainwater
2015,20.806,3.894931813977956,18.72%,Rainwater
1985,13.232,4.563782008905571,34.49%,Combined
1986,13.25,4.56552835406204,34.46%,Combined
1987,13.338,4.588230841096136,34.40%,Combined
1988,13.741,4.7098928869968075,34.28%,Combined
1989,14.342,4.985815421718905,34.76%,Combined
1990,15.372,5.351965789525232,34.82%,Combined
1991,16.383,5.885183177300424,35.92%,Combined
1992,16.525,5.956201213663495,36.04%,Combined
1993,16.767,6.133164189519017,36.58%,Combined
1994,16.999,6.229795288176967,36.65%,Combined
1995,18.677,7.20600223064312,38.58%,Combined
1996,19.249,7.566913562980041,39.31%,Combined
1997,19.324,7.615229112309016,39.41%,Combined
1998,19.354,7.6326925638737055,39.44%,Combined
1999,19.406,7.669947927211711,39.52%,Combined
2000,19.563,7.77763921186063,39.76%,Combined
2001,19.711,7.927242780264805,40.22%,Combined
2002,19.802,7.98661851558475,40.33%,Combined
2003,19.827,8.000589276836502,40.35%,Combined
2004,20.064,8.185701863422212,40.80%,Combined
2005,20.222,8.326573706044043,41.18%,Combined
2006,20.355,8.472102469083124,41.62%,Combined
2007,20.416,8.541956275341883,41.84%,Combined
2008,20.513,8.652558135251585,42.18%,Combined
2009,20.657,8.733472127501313,42.28%,Combined
2010,20.692,8.769563260735005,42.38%,Combined
2011,20.708,8.798086898290665,42.49%,Combined
2012,20.722,8.820789385324762,42.57%,Combined
2013,20.768,8.87317974001883,42.73%,Combined
2014,20.773,8.883075695905488,42.76%,Combined
2015,20.806,8.941869316173277,42.98%,Combined
