yearName,population,populationGrowthPercentage,uba,growth_percentage,density,populationUrbanGrowthRatio
2015,62308.46399726719,,22.842,0.394,2727.802,
2015,62308.46399726719,,18.932,0.039,3291.172,
2015,62308.46399726719,,20.806,0.161,2994.735,
2016,63434.26200032141,1.807,20.978,,3023.847,
2016,63434.26200032141,1.807,20.978,0.824,3023.847,2.193
2017,64527.07477099635,1.723,21.302,1.545,3029.156,1.115
2017,64527.07477099635,1.723,21.302,1.545,3029.156,1.115
2018,0.0,-100.0,21.464,0.761,0.0,-131.406
2018,0.0,-100.0,21.464,0.761,0.0,-131.406
2019,66813.12582960585,inf,21.65,0.867,3086.057,inf
2019,66813.12582960585,inf,21.65,0.867,3086.057,inf
2020,68081.611075297,1.899,22.013,1.676,3092.791,1.133
2020,68081.611075297,1.899,22.013,1.676,3092.791,1.133
2021,69417.25994875096,1.962,22.332,1.448,3108.421,1.355
2021,69417.25994875096,1.962,22.332,1.448,3108.421,1.355
2022,70846.73020821251,2.059,22.537,0.921,3143.574,2.236
2022,70846.73020821251,2.059,22.537,0.921,3143.574,2.236
2023,72310.25790010858,2.066,22.777,1.064,3174.705,1.942
2023,72310.25790010858,2.066,22.777,1.064,3174.705,1.942
2024,73783.88570958655,2.038,22.873,0.42,3225.807,4.852
2024,73783.88570958655,2.038,22.873,0.42,3225.807,4.852
2025,75234.62568634376,1.966,23.122,1.089,3253.811,1.805
2025,75234.62568634376,1.966,23.122,1.089,3253.811,1.805
