Year,uba_km2,uba_km2_exposed,percent_uba_exposed
1985,13.37,3.68,27.56%
1986,13.38,3.69,27.53%
1987,13.47,3.71,27.52%
1988,13.88,3.81,27.47%
1989,14.48,4.02,27.80%
1990,15.5,4.33,27.95%
1991,16.52,4.74,28.70%
1992,16.66,4.79,28.77%
1993,16.9,4.94,29.24%
1994,17.13,5.02,29.30%
1995,18.83,5.8,30.80%
1996,19.4,6.1,31.44%
1997,19.47,6.13,31.49%
1998,19.5,6.15,31.51%
1999,19.56,6.18,31.60%
2000,19.72,6.25,31.72%
2001,19.87,6.37,32.08%
2002,19.96,6.43,32.22%
2003,19.98,6.44,32.23%
2004,20.2,6.56,32.48%
2005,20.37,6.67,32.74%
2006,20.51,6.76,32.95%
2007,20.57,6.8,33.06%
2008,20.67,6.87,33.23%
2009,20.82,6.94,33.34%
2010,20.85,6.96,33.39%
2011,20.87,6.97,33.42%
2012,20.88,6.98,33.45%
2013,20.92,7.02,33.56%
2014,20.93,7.02,33.56%
2015,20.96,7.06,33.66%
2016,21.15,7.21,34.08%
2017,21.47,7.35,34.26%
2018,21.64,7.46,34.46%
2019,21.83,7.59,34.75%
2020,22.2,7.85,35.35%
2021,22.52,7.98,35.44%
2022,22.72,8.1,35.67%
2023,22.95,8.25,35.95%
2024,23.05,8.32,36.10%
2025,23.3,8.52,36.55%
