Year,uba_km2,uba_km2_exposed,percent_uba_exposed
1985,13.37,1.64,12.23%
1986,13.38,1.64,12.22%
1987,13.47,1.64,12.16%
1988,13.88,1.67,12.00%
1989,14.48,1.75,12.09%
1990,15.5,1.86,12.01%
1991,16.52,1.99,12.07%
1992,16.66,2.02,12.14%
1993,16.9,2.06,12.17%
1994,17.13,2.09,12.19%
1995,18.83,2.31,12.25%
1996,19.4,2.43,12.54%
1997,19.47,2.44,12.54%
1998,19.5,2.45,12.55%
1999,19.56,2.46,12.56%
2000,19.72,2.48,12.57%
2001,19.87,2.55,12.85%
2002,19.96,2.59,12.95%
2003,19.98,2.59,12.99%
2004,20.2,2.67,13.20%
2005,20.37,2.72,13.37%
2006,20.51,2.79,13.63%
2007,20.57,2.82,13.72%
2008,20.67,2.87,13.90%
2009,20.82,2.93,14.07%
2010,20.85,2.95,14.14%
2011,20.87,2.96,14.17%
2012,20.88,2.96,14.20%
2013,20.92,3,14.33%
2014,20.93,3,14.33%
2015,20.96,3.02,14.41%
2016,21.15,3.08,14.55%
2017,21.47,3.14,14.62%
2018,21.64,3.18,14.67%
2019,21.83,3.25,14.91%
2020,22.2,3.42,15.39%
2021,22.52,3.49,15.50%
2022,22.72,3.56,15.67%
2023,22.95,3.65,15.89%
2024,23.05,3.69,16.00%
2025,23.3,3.81,16.34%
