year,cumulative_sq_km,exposed_km2,percent_exposed
1985,13.232,4.563782008905571,34.49%
1986,13.25,4.56552835406204,34.46%
1987,13.338,4.588230841096136,34.40%
1988,13.741,4.7098928869968075,34.28%
1989,14.342,4.985815421718905,34.76%
1990,15.372,5.351965789525232,34.82%
1991,16.383,5.885183177300424,35.92%
1992,16.525,5.956201213663495,36.04%
1993,16.767,6.133164189519017,36.58%
1994,16.999,6.229795288176967,36.65%
1995,18.677,7.20600223064312,38.58%
1996,19.249,7.566913562980041,39.31%
1997,19.324,7.615229112309016,39.41%
1998,19.354,7.6326925638737055,39.44%
1999,19.406,7.669947927211711,39.52%
2000,19.563,7.77763921186063,39.76%
2001,19.711,7.927242780264805,40.22%
2002,19.802,7.98661851558475,40.33%
2003,19.827,8.000589276836502,40.35%
2004,20.064,8.185701863422212,40.80%
2005,20.222,8.326573706044043,41.18%
2006,20.355,8.472102469083124,41.62%
2007,20.416,8.541956275341883,41.84%
2008,20.513,8.652558135251585,42.18%
2009,20.657,8.733472127501313,42.28%
2010,20.692,8.769563260735005,42.38%
2011,20.708,8.798086898290665,42.49%
2012,20.722,8.820789385324762,42.57%
2013,20.768,8.87317974001883,42.73%
2014,20.773,8.883075695905488,42.76%
2015,20.806,8.941869316173277,42.98%
