year,comb_2020,comb_2050_ssp1,comb_2050_ssp2,comb_2050_ssp3,comb_2050_ssp5,comb_2080_ssp1,comb_2080_ssp2,comb_2080_ssp3,comb_2080_ssp5,fluvial_2020,fluvial_2050_ssp1,fluvial_2050_ssp2,fluvial_2050_ssp3,fluvial_2050_ssp5,fluvial_2080_ssp1,fluvial_2080_ssp2,fluvial_2080_ssp3,fluvial_2080_ssp5,pluvial_2020,pluvial_2050_ssp1,pluvial_2050_ssp2,pluvial_2050_ssp3,pluvial_2050_ssp5,pluvial_2080_ssp1,pluvial_2080_ssp2,pluvial_2080_ssp3,pluvial_2080_ssp5
1985,4.563782008905571,4.696504240797213,4.812927251228477,4.812927251228477,4.932260836920524,4.8053597555504455,4.941574677755025,5.085357095637637,5.310635620822134,4.240708154958812,4.3408319439297,4.447358998474306,4.447358998474306,4.552721822914601,4.439791502796274,4.5626177788012585,4.67321963871096,4.861242800557452,1.9832659826965922,2.064762089998477,2.143929737091737,2.143929737091737,2.2399787206975303,2.140437046778799,2.2452177561669373,2.3680440321719214,2.52812567151491
1986,4.56552835406204,4.698250585953682,4.814673596384946,4.814673596384946,4.934007182076993,4.807106100706914,4.943321022911493,5.087685555846262,5.313546196082915,4.24245450011528,4.342578289086169,4.449105343630775,4.449105343630775,4.55446816807107,4.441537847952743,4.564364123957727,4.674965983867429,4.8635712607660775,1.9832659826965922,2.064762089998477,2.143929737091737,2.143929737091737,2.2399787206975303,2.140437046778799,2.2452177561669373,2.3686261472240777,2.5292899016192227
1987,4.588230841096136,4.722117303092091,4.838540313523355,4.838540313523355,4.957873899215402,4.830972817845323,4.967187740049902,5.112716503088984,5.339741373429949,4.265156987149377,4.365280776120265,4.471807830664871,4.471807830664871,4.577170655105166,4.464240334986839,4.5870666109918234,4.698250585953682,4.8874379779044865,1.9844302128009048,2.0670905502071024,2.1468403123525186,2.1468403123525186,2.242889295958312,2.1433476220395806,2.248128331427719,2.3721188375370157,2.5345289370886297
1988,4.7098928869968075,4.839122428575512,4.957291784163245,4.957291784163245,5.077789599959605,4.949724288485213,5.087103440794105,5.237871239302593,5.4724636053215905,4.3850726878935795,4.481121671499373,4.589395071200449,4.589395071200449,4.694757895640744,4.581827575522417,4.704653851527401,4.819330516802197,5.012592714118096,2.031581532025567,2.111331294170983,2.192827401472868,2.192827401472868,2.291204845287287,2.18933471115993,2.296443880756694,2.4239270771789285,2.590994097147793
1989,4.985815421718905,5.122612458975641,5.247185080137094,5.247185080137094,5.374668276559329,5.2396175844590624,5.387474807706767,5.5510491373626945,5.806015530207164,4.645860231259612,4.7506409406477506,4.865317605922546,4.865317605922546,4.97708369593656,4.857750110244514,4.990472342136155,5.11504496329761,5.327516957334667,2.13869070162233,2.220186808924215,2.3057577215911946,2.3057577215911946,2.4099563159271766,2.3022650312782567,2.41577746644874,2.549081813392538,2.7266269043002165
1990,5.351965789525232,5.50273358803372,5.637784280133987,5.637784280133987,5.772252857182098,5.628470439299486,5.785641503381692,5.971918320071716,6.245512394585187,4.9869796518232175,5.103402662254482,5.227393168363779,5.227393168363779,5.344980408899357,5.218079327529278,5.358951170151108,5.49341974719922,5.723355192800966,2.2714129335139717,2.3628049967025144,2.454779174943213,2.454779174943213,2.569455840218009,2.4507043695781188,2.5752769907395723,2.7266269043002165,2.918724871511803
1991,5.885183177300424,6.0365330908610675,6.184390314108774,6.184390314108774,6.331083307252168,6.175076473274273,6.345054068503918,6.551122796967258,6.843926668201887,5.4858522515211865,5.601111031848139,5.737908069104874,5.737908069104874,5.867137610683578,5.728594228270373,5.881690486987486,6.034786745704601,6.279857182662411,2.4495401394738066,2.5380216274015677,2.6428023367897056,2.6428023367897056,2.7691213031076276,2.6387275314246113,2.774942453629191,2.938516783285118,3.1562278127915824
1992,5.956201213663495,6.108715357328451,6.260065270889096,6.260065270889096,6.407922494136803,6.250169315002439,6.421893255388553,6.6308725591126745,6.926587005608085,5.545810101893288,5.66106888222024,5.801940724842069,5.801940724842069,5.932916611577243,5.792044768955412,5.9474694878811505,6.102894206806891,6.3508752190254825,2.481556467342404,2.5735306455831033,2.6806398151798665,2.6806398151798665,2.809287241706414,2.676565009814772,2.815108392227977,2.9827575272489986,3.2045433621205572
1993,6.133164189519017,6.289171023496912,6.441685167161869,6.441685167161869,6.590706620513888,6.431789211275212,6.604677381765638,6.816567260750541,7.118684972819672,5.70705597134059,5.824643211876167,5.966097169550152,5.966097169550152,6.097073056285326,5.956201213663495,6.1116259325892335,6.270543341827912,6.520270699202973,2.5356931671929424,2.6317421507987357,2.7417618956562806,2.7417618956562806,2.872737782391453,2.7376870902911863,2.878558932913016,3.0497007582469755,3.27847197374441
1994,6.229795288176967,6.386966352259174,6.541808956132757,6.541808956132757,6.694323099797714,6.530748770141787,6.708293861049464,6.922512200242992,7.229868947781529,5.795537459268351,5.914871044960397,6.058653462843007,6.058653462843007,6.193704154943275,6.047593276852037,6.208257031247183,6.370085015746643,6.6238871784867985,2.5723664154787906,2.6713259743453657,2.782509949307223,2.782509949307223,2.9158142962510207,2.778435143942129,2.921635446772584,3.0933593871586997,3.3256232929690723
1995,7.20600223064312,7.372487135559829,7.541300500685163,7.541300500685163,7.713606556123435,7.528493969537724,7.728741547479498,7.95809487802909,8.291646802914663,6.7129507814667155,6.838687632732482,6.992948121553905,6.992948121553905,7.140805344801612,6.9801415904064665,7.156522451209833,7.324753701283012,7.596601430640014,2.911739490885927,3.0421332625689432,3.176601839617054,3.176601839617054,3.34017616927298,3.1719449191998033,3.3465794348466997,3.546244897736319,3.8239137776148846
1996,7.566913562980041,7.739219618418312,7.912107788908741,7.912107788908741,8.090817109920732,7.898719142709146,8.105952101276795,8.343455042556576,8.690395613641744,7.056398662238946,7.187374548974119,7.345709843160637,7.345709843160637,7.502298792190689,7.332321196961042,7.518015898598909,7.692650414245809,7.972647754332999,3.07589593559401,3.2103645126421205,3.3524005853682635,3.3524005853682635,3.5241245257543783,3.3471615498988565,3.530527791328098,3.7429997853651558,4.038714231860568
1997,7.615229112309016,7.791609973112381,7.966826603811435,7.966826603811435,8.146118039875581,7.951691612455371,8.161253031231645,8.401666547772209,8.750353464013845,7.101221521254983,7.235107983250937,7.39577173764608,7.39577173764608,7.552360686676132,7.380636746290016,7.568077793084353,7.7450407689398775,8.02794868428785,3.0910309269500744,3.2266637341024977,3.3704461519851097,3.3704461519851097,3.5439164375276935,3.3646250014635464,3.550319703101413,3.765120157347096,4.063163064051134
