year,cumulative_sq_km,exposed_km2,percent_exposed
1985,13.232,1.983265982696592,14.99%
1986,13.25,1.983265982696592,14.97%
1987,13.338,1.9844302128009048,14.88%
1988,13.741,2.031581532025567,14.78%
1989,14.342,2.13869070162233,14.91%
1990,15.372,2.2714129335139717,14.78%
1991,16.383,2.4495401394738066,14.95%
1992,16.525,2.481556467342404,15.02%
1993,16.767,2.5356931671929424,15.12%
1994,16.999,2.57236641547879,15.13%
1995,18.677,2.911739490885927,15.59%
1996,19.249,3.07589593559401,15.98%
1997,19.324,3.0910309269500744,16.00%
1998,19.354,3.0985984226281067,16.01%
1999,19.406,3.105583803253982,16.00%
2000,19.563,3.142257051539831,16.06%
2001,19.711,3.2400523803020933,16.44%
2002,19.802,3.271486593118534,16.52%
2003,19.827,3.2819646640573485,16.55%
2004,20.064,3.3989697895407693,16.94%
2005,20.222,3.4624203302258083,17.12%
2006,20.355,3.567201039613946,17.52%
2007,20.416,3.613188128734296,17.70%
2008,20.513,3.6911915457232434,17.99%
2009,20.657,3.738924980000062,18.10%
2010,20.692,3.768030732607878,18.21%
2011,20.708,3.7907332196419743,18.31%
2012,20.722,3.807614556154508,18.37%
2013,20.768,3.8524374151705447,18.55%
2014,20.773,3.858840680744264,18.58%
2015,20.806,3.894931813977956,18.72%
