month,max,min,mean
1,2.740000009536743,2.690000057220459,2.711552143096924
2,3.700000047683716,3.640000104904175,3.6668965816497803
3,4.349999904632568,4.320000171661377,4.333878993988037
4,4.670000076293945,4.650000095367432,4.658792495727539
5,5.010000228881836,4.989999771118164,4.999309539794922
6,5.449999809265137,5.429999828338623,5.441896438598633
7,5.480000019073486,5.460000038146973,5.46603536605835
8,5.579999923706055,5.559999942779541,5.569827556610107
9,5.429999828338623,5.420000076293945,5.426379203796387
10,4.480000019073486,4.449999809265137,4.466810703277588
11,3.3299999237060547,3.309999942779541,3.3187923431396484
12,2.5399999618530273,2.490000009536743,2.519052028656006
