year,cumulative_sq_km
1985,14.121167402078486
1986,14.139344089226686
1987,14.229548534886401
1988,14.648920786250207
1989,15.29866194460592
1990,16.39876220490159
1991,17.53582455334351
1992,17.70278683437176
1993,17.98081163527215
1994,18.25884569724992
1995,20.258928689080022
1996,20.861449701382128
1997,20.94694405058114
1998,20.98195010934359
1999,21.0465762877984
2000,21.240450935083658
2001,21.424232042854044
2002,21.525211106491188
2003,21.555502003192586
2004,21.86318169913884
2005,22.0584317141192
2006,22.26108403656729
2007,22.356012963599355
2008,22.510183056675004
2009,22.698006843239064
2010,22.748498305150246
2011,22.790908415876608
2012,22.819184235575026
2013,22.891897219270135
2014,22.910074107025242
2015,23.000289400136054
