year,month,cumulative_sq_km
2016,6,14.375572514614005
2017,1,14.44230049454199
2017,6,14.56131546272631
2018,1,14.62078759838716
2018,6,14.647718944217091
2019,1,14.68796598438209
2019,6,14.743102084816242
2020,1,14.85882443454347
2020,6,14.953681924147585
2021,1,15.058255168472819
2021,6,15.14847127567882
2022,1,15.207642841994847
2022,6,15.25200361791189
2023,1,15.328978924952615
2023,6,15.386953304977881
2024,1,15.415826869080849
2024,6,15.441635042529272
2025,1,15.492431076030481
2025,6,15.561710125352574
